Wife's age,Wife's education,Husband's education,# of children ever born,Wife's religion,Wife's now working?,Husband's occupation,Standard-of-living index,Media exposure,label
49,3,4,6,1,1,1,4,0,A
49,3,4,9,1,1,1,4,0,A
47,4,4,2,1,1,1,4,0,A
28,4,4,3,0,1,1,4,0,A
26,4,4,1,1,1,1,4,0,A
29,1,2,7,1,1,2,4,0,A
29,4,2,0,1,0,2,2,0,A
25,3,3,1,1,1,3,4,0,A
24,2,4,2,1,1,3,4,0,A
23,4,4,1,1,0,2,4,0,A
23,4,4,2,1,0,3,3,0,A
44,1,2,2,1,1,2,4,0,A
39,3,4,6,1,1,1,4,0,A
21,3,3,0,1,1,2,2,0,A
22,3,4,2,1,1,2,3,0,A
47,3,4,3,1,1,2,3,0,A
36,3,3,2,1,0,2,4,0,A
25,1,4,2,1,0,3,3,1,A
40,4,4,2,1,1,3,4,0,A
36,2,2,0,0,0,3,3,0,A
37,2,3,5,0,0,2,4,0,A
28,1,4,2,1,0,2,3,0,A
30,3,3,5,1,0,3,4,0,A
16,3,4,1,1,1,3,3,0,A
32,2,3,4,0,1,2,4,0,A
40,4,4,3,0,1,3,4,0,A
40,1,1,2,1,0,3,4,0,A
45,3,4,2,0,1,1,4,0,A
21,1,3,0,1,0,3,4,1,A
28,4,4,1,0,1,1,3,0,A
25,4,4,1,0,1,2,3,0,A
44,1,3,4,1,1,3,3,1,A
35,4,4,2,0,1,3,4,0,A
49,4,4,4,1,1,3,4,0,A
39,3,4,1,0,1,3,4,0,A
32,3,4,1,0,1,2,4,0,A
35,1,2,0,1,0,4,4,0,A
21,1,2,1,1,0,3,4,0,A
47,4,4,1,0,1,1,4,0,A
27,4,4,1,0,1,3,4,0,A
31,2,2,8,1,1,2,2,1,A
34,4,3,0,0,0,3,3,0,A
30,4,4,3,1,0,2,4,0,A
25,4,4,0,1,0,2,4,0,A
28,3,4,3,1,1,2,1,0,A
30,2,3,4,1,0,3,2,0,A
42,3,3,8,1,1,4,3,0,A
23,4,4,0,0,1,2,4,0,A
45,3,4,3,0,1,3,4,0,A
21,4,4,1,1,1,3,3,0,A
28,4,4,1,0,1,2,4,0,A
33,4,4,1,0,0,3,4,0,A
32,1,2,4,1,1,3,2,1,A
25,2,2,3,1,1,3,3,0,A
25,3,3,1,1,1,3,1,0,A
19,2,2,2,1,1,3,1,0,A
40,1,2,6,1,1,3,1,1,A
24,2,2,2,1,1,3,1,1,A
32,2,2,1,1,1,2,1,0,A
35,2,3,8,1,1,3,2,0,A
27,2,2,1,1,0,3,2,1,A
23,2,4,2,1,1,1,4,0,A
22,2,4,4,1,1,3,4,0,A
49,2,3,0,1,1,1,2,0,A
25,2,3,0,1,1,2,4,0,A
18,3,4,1,1,1,3,1,0,A
43,3,3,4,1,1,2,4,0,A
37,1,3,0,1,1,3,4,0,A
30,2,3,2,1,0,2,4,0,A
29,3,2,0,1,1,2,2,0,A
20,2,3,3,1,1,3,4,0,A
42,3,3,3,1,0,2,4,0,A
23,4,4,1,1,1,2,3,0,A
34,2,3,7,1,0,3,3,0,A
23,3,3,6,1,1,3,3,0,A
38,3,3,5,1,1,1,4,0,A
37,2,3,4,1,1,2,3,0,A
17,2,3,1,1,1,3,2,0,A
39,3,4,3,1,1,1,4,0,A
49,1,3,0,1,1,3,3,1,A
23,3,3,2,1,1,2,2,0,A
40,3,3,3,1,1,2,2,1,A
32,2,4,5,1,1,2,3,0,A
18,2,3,1,1,1,2,3,0,A
46,1,2,8,1,1,3,3,1,A
37,3,3,6,1,1,2,2,0,A
38,2,4,5,0,1,2,2,0,A
37,2,3,2,0,0,3,3,0,A
25,2,3,1,1,0,2,1,0,A
38,2,4,5,1,1,3,3,0,A
39,4,4,2,1,0,1,4,0,A
44,4,4,3,1,0,1,4,1,A
19,4,4,0,0,1,3,4,0,A
28,2,4,1,1,0,3,4,0,A
20,2,3,1,1,1,3,4,0,A
33,4,4,0,1,0,3,3,0,A
33,4,4,5,1,1,3,4,0,A
47,1,4,6,1,1,1,4,0,A
25,3,3,0,1,1,3,4,0,A
29,4,4,0,1,0,2,4,0,A
37,4,4,2,0,1,1,4,0,A
49,1,3,6,1,1,2,4,0,A
48,1,1,8,1,0,2,2,1,A
19,2,2,0,1,1,2,2,0,A
46,1,2,3,1,1,2,1,1,A
39,1,2,2,1,1,3,1,1,A
30,3,4,5,1,1,1,4,0,A
40,2,2,8,1,1,2,2,0,A
43,1,2,1,1,1,3,4,1,A
29,3,4,4,1,0,1,3,0,A
23,3,3,2,1,1,3,3,0,A
24,2,2,3,1,1,2,4,0,A
47,3,3,2,1,1,2,4,0,A
35,3,3,2,1,0,2,2,0,A
19,3,3,1,1,1,2,4,0,A
45,2,3,4,1,0,2,4,0,A
42,2,4,2,1,1,3,4,0,A
47,1,1,1,1,1,3,4,0,A
25,2,2,2,1,1,3,1,0,A
20,2,3,3,1,1,3,4,0,A
33,3,3,6,1,1,3,4,0,B
46,4,3,5,1,1,1,4,0,B
35,4,4,4,1,1,1,4,0,B
26,4,4,2,1,0,1,4,0,B
36,3,3,5,1,0,1,3,0,B
37,3,4,3,1,1,1,3,0,B
44,2,4,4,1,1,3,3,0,B
32,4,4,2,1,1,1,4,0,B
25,2,4,6,1,1,3,4,0,B
42,2,3,7,1,1,3,4,0,B
30,4,4,2,0,0,1,4,0,B
39,4,4,4,1,1,1,4,0,B
26,1,1,2,1,1,3,4,0,B
30,2,4,3,1,1,3,4,0,B
38,4,4,4,0,0,1,2,0,B
23,4,4,1,1,1,1,2,0,B
18,3,4,1,1,1,3,4,0,B
25,3,4,3,1,1,2,3,0,B
37,4,4,2,1,0,3,3,0,B
20,3,4,1,1,1,3,2,0,B
45,4,4,7,1,1,1,4,0,B
28,2,1,2,1,0,3,3,0,B
33,2,2,3,1,1,2,3,0,B
28,2,3,2,1,1,3,3,0,B
30,2,4,1,1,0,3,4,0,B
32,4,4,4,1,1,2,4,0,B
48,4,3,7,1,0,2,4,0,B
46,4,4,2,1,0,1,4,0,B
32,4,4,2,0,0,1,4,0,B
49,4,4,10,1,1,1,4,0,B
33,2,2,6,1,0,3,4,0,B
39,4,4,3,1,1,1,4,0,B
35,4,4,5,0,0,1,4,0,B
36,4,4,3,0,1,1,3,0,B
20,3,4,1,1,1,2,4,0,B
23,4,4,1,1,1,3,4,0,B
26,2,4,2,1,1,1,3,0,B
25,3,3,1,1,1,3,1,0,B
31,4,4,1,1,1,1,4,0,B
36,4,4,2,1,1,2,4,0,B
32,3,3,2,1,0,3,4,0,B
36,4,4,3,1,1,1,4,0,B
40,4,4,3,1,1,1,4,0,B
46,4,4,4,1,1,1,4,0,B
42,4,4,8,0,1,1,4,0,B
39,4,4,4,1,0,1,4,0,B
34,4,4,2,1,1,1,4,0,B
36,4,4,3,1,1,1,4,0,B
37,4,4,3,1,1,1,4,0,B
36,4,4,4,0,1,1,4,0,B
38,4,4,2,1,1,1,4,0,B
27,3,3,1,0,0,2,4,0,B
37,4,3,8,1,1,1,4,0,B
24,1,4,1,1,0,4,2,1,B
42,2,4,8,1,1,1,4,0,B
31,4,4,3,0,0,4,4,0,B
34,2,3,2,1,1,3,3,0,B
34,4,4,4,1,1,3,3,0,B
36,4,4,4,0,0,1,4,0,B
47,4,4,8,1,1,1,4,0,B
34,4,4,3,1,1,1,4,0,B
44,4,4,6,0,1,1,3,0,B
21,4,4,1,1,1,1,4,0,B
42,4,4,6,1,1,1,3,0,B
44,4,4,4,1,0,2,3,0,B
19,4,4,1,1,1,2,3,0,B
35,1,3,7,1,0,2,3,1,B
24,4,4,1,1,1,3,2,0,B
32,3,4,7,0,1,1,3,0,B
31,3,3,2,1,0,3,3,0,B
47,3,4,11,1,0,2,3,0,B
38,4,4,6,1,0,3,3,0,B
40,4,4,4,1,1,1,3,0,B
35,3,3,4,1,1,3,2,0,B
26,3,4,3,1,1,3,4,0,B
23,4,3,3,1,1,3,3,0,B
40,4,4,6,0,0,1,4,0,B
37,4,4,3,1,1,1,4,0,B
39,4,4,5,1,1,2,4,0,B
25,4,4,2,1,1,2,4,0,B
48,4,4,4,0,1,1,4,0,B
31,4,4,3,1,1,1,4,0,B
26,4,4,1,0,1,2,4,0,B
44,4,4,5,1,0,1,4,0,B
29,4,4,1,1,0,2,4,0,B
36,2,1,6,1,1,2,1,0,B
29,4,4,2,1,0,1,3,0,B
37,2,3,7,1,1,3,4,0,B
28,3,3,3,1,1,1,2,0,B
40,2,3,6,1,1,1,2,0,B
33,4,4,4,1,1,1,4,0,B
22,4,4,1,1,1,1,2,0,B
35,3,4,5,1,0,1,3,1,B
32,4,4,3,0,1,3,3,0,B
35,4,4,5,1,0,1,3,0,B
29,4,4,2,1,1,1,4,0,B
23,3,3,2,1,0,3,4,0,B
35,4,4,2,1,0,1,4,0,B
36,4,4,3,1,0,2,4,0,B
32,4,4,2,1,0,1,4,0,B
30,4,1,4,1,1,3,3,0,B
36,4,4,4,0,1,2,4,0,B
33,4,4,3,1,1,3,4,0,B
33,3,4,5,0,1,3,3,0,B
43,2,4,13,1,1,2,3,0,B
35,3,3,6,1,1,2,3,0,B
38,4,4,5,1,1,1,3,0,B
25,3,1,4,1,1,3,1,0,B
26,3,3,2,1,1,3,2,0,B
24,4,4,1,1,1,3,4,0,B
22,3,4,1,1,1,4,4,0,B
33,2,3,5,1,0,2,1,0,B
45,3,3,7,1,1,3,4,0,B
29,4,4,2,1,0,1,3,0,B
47,2,2,7,1,1,2,4,0,B
36,3,2,6,1,1,3,2,0,B
45,3,3,8,1,1,2,3,0,B
47,4,4,6,1,0,1,4,0,B
43,3,4,2,1,0,2,4,0,B
44,4,4,7,1,1,3,2,0,B
24,2,4,2,1,1,3,3,0,B
28,4,4,2,1,0,1,3,0,B
34,4,4,5,1,1,3,4,0,B
31,3,4,4,1,1,1,3,0,B
27,4,4,3,1,1,1,4,0,B
27,3,3,1,1,0,3,4,0,B
26,4,4,1,1,0,1,3,0,B
36,3,4,7,1,1,2,2,0,B
35,4,4,4,0,1,3,3,0,B
38,4,4,6,1,1,3,3,0,B
44,4,4,7,1,1,2,4,0,B
25,4,4,1,1,1,1,4,0,B
25,4,4,2,0,1,1,3,0,B
41,4,4,4,1,1,1,4,0,B
41,3,4,5,1,1,1,3,0,B
24,4,4,1,1,0,1,4,0,B
33,4,4,3,1,1,3,3,0,B
29,4,4,3,1,0,3,3,0,B
47,4,4,4,1,0,1,4,0,B
28,4,4,4,1,1,1,3,0,B
21,2,2,1,1,1,3,2,0,B
32,3,3,6,1,0,3,3,0,B
30,3,4,2,1,1,1,4,0,B
37,4,4,5,1,1,3,4,0,B
29,4,3,4,1,0,3,2,0,B
38,4,4,3,1,0,1,4,0,B
49,3,3,11,1,1,1,4,0,B
41,3,3,5,1,1,1,4,0,B
43,3,4,5,1,1,3,2,1,B
47,1,1,10,1,1,3,3,0,B
22,4,4,1,1,1,1,3,0,B
27,4,4,1,0,0,1,4,0,B
34,3,4,2,0,1,2,3,0,B
42,3,3,4,1,1,2,4,0,B
39,4,4,3,0,0,1,4,0,B
36,4,4,3,0,1,2,4,0,B
21,4,4,1,1,1,2,1,0,B
36,3,4,4,0,0,2,4,0,B
25,2,3,1,1,0,4,4,0,B
41,4,4,4,0,0,2,4,0,B
32,4,4,4,0,0,2,4,0,B
41,4,4,4,0,0,2,4,0,B
43,4,4,3,0,1,1,4,0,B
35,4,4,3,1,1,2,3,0,B
24,4,4,2,1,0,1,3,0,B
43,4,4,6,1,1,1,4,0,B
48,4,4,7,0,1,1,4,0,B
28,4,4,2,1,1,1,3,0,B
24,4,4,1,1,1,1,4,0,B
42,4,4,3,1,0,1,4,0,B
39,4,4,3,1,1,1,4,0,B
24,4,4,1,1,1,1,4,0,B
33,4,3,5,1,1,2,4,0,B
29,4,4,2,1,1,3,4,0,B
44,4,4,5,1,1,1,4,0,B
17,4,4,1,1,1,2,4,0,B
35,3,4,3,1,1,2,2,0,B
32,3,4,5,1,1,1,2,0,B
27,4,4,2,1,0,1,3,0,B
44,4,4,4,1,1,1,4,0,B
42,4,4,5,1,1,1,4,0,B
40,4,4,6,1,1,1,3,0,B
44,4,4,3,1,1,1,4,0,B
33,4,4,5,1,1,2,4,0,B
35,2,4,3,0,0,3,4,1,B
31,4,2,2,0,1,1,3,0,B
37,4,4,3,0,1,3,4,0,B
45,4,4,3,0,1,2,4,0,B
26,4,4,2,0,1,1,4,0,B
40,3,4,2,0,1,3,4,0,B
30,4,4,1,0,1,2,4,0,B
36,3,4,3,0,0,3,4,0,B
33,3,4,3,0,1,2,4,0,B
41,4,4,5,0,1,2,4,0,B
45,3,3,6,0,1,2,4,0,B
48,4,4,6,0,1,2,4,0,B
35,4,4,3,0,0,3,4,0,B
37,4,4,4,0,0,2,4,0,B
46,4,4,3,0,0,1,4,0,B
38,4,4,4,0,1,3,4,0,B
30,3,4,7,1,1,2,4,0,B
42,4,3,7,1,0,1,4,0,B
35,2,2,6,1,1,3,4,0,B
34,4,4,6,1,1,3,4,0,B
37,4,4,4,1,1,1,4,0,B
38,4,4,6,1,1,1,4,0,B
30,3,3,2,1,1,2,3,0,B
46,4,4,4,1,1,1,4,0,B
31,4,4,3,0,1,2,4,0,B
41,4,4,6,0,1,1,4,0,B
41,4,4,7,1,1,2,4,0,B
32,4,4,2,0,0,2,4,0,B
44,4,4,4,1,1,1,4,0,B
39,4,4,4,0,1,1,4,0,B
39,4,4,5,1,1,1,4,0,B
45,4,4,4,1,1,1,4,0,B
33,4,4,3,1,1,1,4,0,B
39,4,4,3,0,1,1,4,0,B
44,4,4,3,1,0,1,4,0,B
34,3,3,6,1,1,3,4,0,B
33,3,3,5,1,1,3,4,0,B
34,2,2,8,1,1,2,2,0,B
27,3,2,5,1,1,2,4,0,B
47,1,1,8,1,1,3,4,1,B
25,2,4,3,1,1,1,4,1,B
24,3,4,5,1,1,1,2,1,B
41,4,4,4,1,0,1,4,0,B
29,3,3,4,1,1,3,4,0,C
27,2,2,5,1,1,3,1,0,C
40,3,4,5,1,1,1,2,0,C
30,2,2,6,1,1,3,1,0,C
24,4,4,1,1,0,1,4,0,C
36,4,4,2,1,0,1,4,0,C
17,2,2,1,1,1,3,2,0,C
28,1,2,4,1,1,2,3,0,C
27,2,4,1,1,1,1,4,0,C
21,3,3,1,1,1,3,3,0,C
30,2,2,4,1,1,2,4,0,C
48,4,4,16,1,1,1,4,0,C
29,2,4,3,1,0,3,3,0,C
29,4,4,2,1,1,3,4,0,C
20,3,4,2,1,1,1,3,0,C
28,4,4,1,1,1,3,2,0,C
32,2,3,5,1,0,2,3,0,C
27,3,3,1,1,0,3,3,0,C
25,2,3,1,1,1,3,1,0,C
43,4,4,3,1,1,1,4,0,C
35,4,4,2,1,1,2,4,0,C
30,4,4,1,1,1,1,4,0,C
29,1,4,3,1,1,4,4,1,C
33,3,4,8,1,1,3,4,0,C
37,3,4,5,1,0,2,4,0,C
27,2,4,3,1,1,4,4,0,C
33,2,4,3,1,1,2,4,0,C
35,2,3,6,1,0,3,3,0,C
20,3,3,2,1,1,2,4,0,C
26,2,4,3,1,1,3,4,0,C
24,3,3,2,1,1,3,3,0,C
45,1,3,3,1,1,3,2,0,C
34,3,4,4,1,1,1,3,0,C
49,4,3,13,1,1,1,4,0,C
33,4,4,5,1,1,1,4,0,C
33,3,3,8,1,1,3,4,0,C
24,3,4,3,1,1,1,4,0,C
30,2,2,4,1,1,2,1,0,C
27,2,4,4,1,1,2,1,0,C
23,4,3,1,1,1,2,2,0,C
35,4,4,4,1,1,1,4,0,C
35,4,4,1,0,1,1,4,0,C
40,4,4,2,0,0,1,4,0,C
29,3,3,1,1,1,3,3,0,C
33,3,3,3,1,1,3,3,0,C
36,4,4,6,0,1,1,2,1,C
36,4,4,4,0,1,1,4,0,C
41,4,4,1,1,1,3,3,0,C
38,3,4,3,1,1,3,2,0,C
29,2,4,3,1,1,3,3,0,C
19,4,4,1,1,1,1,3,0,C
